qid,ground_truth
COLOR-0188,B
COLOR-0189,B
COLOR-0190,B
COLOR-0191,B
COLOR-0192,B
COLOR-0193,B
COLOR-0194,A
COLOR-0195,B
COLOR-0196,B
COLOR-0197,B
COLOR-0198,B
COLOR-0199,B
COLOR-0200,B
COLOR-0201,B
COLOR-0202,B
COLOR-0203,B
COLOR-0204,B
COLOR-0205,B
COLOR-0206,B
COLOR-0207,B
COLOR-0208,B
COLOR-0209,A
COLOR-0210,B
COLOR-0211,B
COLOR-0212,A
COLOR-0213,B
COLOR-0214,B
COLOR-0215,B
COLOR-0216,B
COLOR-0217,B
COLOR-0218,B
COLOR-0219,B
COLOR-0220,B
COLOR-0221,B
COLOR-0222,B
COLOR-0223,B
COLOR-0224,B
COLOR-0225,A
COLOR-0226,A
COLOR-0227,B
COLOR-0228,B
COLOR-0229,B
COLOR-0230,B
COLOR-0231,B
COLOR-0232,B
COLOR-0233,B
COLOR-0234,B
COLOR-0235,B
COLOR-0236,B
COLOR-0237,B
COLOR-0238,B
COLOR-0239,B
COLOR-0240,B
COLOR-0241,B
COLOR-0242,A
COLOR-0243,B
COLOR-0244,B
COLOR-0245,B
COLOR-0246,B
COLOR-0247,B
COLOR-0248,B
COLOR-0249,B
COLOR-0250,B
COLOR-0251,B
COLOR-0252,B
COLOR-0253,B
COLOR-0254,B
COLOR-0255,B
COLOR-0256,B
COLOR-0257,B
COLOR-0258,A
COLOR-0259,B
COLOR-0260,B
COLOR-0261,B
COLOR-0262,B
COLOR-0263,B
COLOR-0264,B
COLOR-0265,B
COLOR-0266,B
COLOR-0267,B
COLOR-0268,B
COLOR-0269,B
COLOR-0270,B
COLOR-0271,B
COLOR-0272,B
COLOR-0273,B
COLOR-0274,A
COLOR-0275,B
COLOR-0276,B
COLOR-0277,B
COLOR-0278,B
COLOR-0279,B
COLOR-0280,B
COLOR-0281,B
COLOR-0282,B
COLOR-0283,B
COLOR-0284,B
COLOR-0285,B
COLOR-0286,B
COLOR-0287,B
COLOR-0288,B
COLOR-0289,A
COLOR-0290,B
COLOR-0291,A
COLOR-0292,B
COLOR-0293,B
COLOR-0294,B
COLOR-0295,B
COLOR-0296,B
COLOR-0297,B
COLOR-0298,B
COLOR-0299,B
COLOR-0300,B
COLOR-0301,B
COLOR-0302,B
COLOR-0303,B
COLOR-0304,B
COLOR-0305,B
COLOR-0306,A
COLOR-0307,A
COLOR-0308,B
COLOR-0309,B
COLOR-0310,B
COLOR-0311,B
COLOR-0312,B
COLOR-0313,B
COLOR-0314,B
COLOR-0315,B
COLOR-0316,B
COLOR-0317,B
COLOR-0318,B
COLOR-0319,B
COLOR-0320,B
COLOR-0321,A
COLOR-0322,B
COLOR-0323,A
COLOR-0324,B
COLOR-0325,B
COLOR-0326,B
COLOR-0327,B
COLOR-0328,B
COLOR-0329,B
COLOR-0330,B
COLOR-0331,B
COLOR-0332,B
COLOR-0333,B
COLOR-0334,B
COLOR-0335,B
COLOR-0336,B
COLOR-0337,A
COLOR-0338,B
COLOR-0339,A
COLOR-0340,B
COLOR-0341,B
COLOR-0342,B
COLOR-0343,B
COLOR-0344,B
COLOR-0345,B
COLOR-0346,B
COLOR-0347,B
COLOR-0348,B
COLOR-0349,B
COLOR-0350,B
COLOR-0351,B
COLOR-0352,B
COLOR-0353,B
COLOR-0354,B
COLOR-0355,A
COLOR-0356,A
COLOR-0357,B
COLOR-0358,B
COLOR-0359,B
COLOR-0360,B
COLOR-0361,B
COLOR-0362,B
COLOR-0363,B
COLOR-0364,B
COLOR-0365,B
COLOR-0366,B
COLOR-0367,B
COLOR-0368,B
COLOR-0369,B
COLOR-0370,A
COLOR-0371,A
COLOR-0372,B
COLOR-0373,B
COLOR-0374,B
COLOR-0375,B
COLOR-0376,B
COLOR-0377,B
COLOR-0378,B
COLOR-0379,B
COLOR-0380,B
COLOR-0381,B
COLOR-0382,B
COLOR-0383,B
COLOR-0384,B
COLOR-0385,B
COLOR-0386,B
COLOR-0387,A
COLOR-0388,B
COLOR-0389,B
COLOR-0390,B
COLOR-0391,B
COLOR-0392,B
COLOR-0393,B
COLOR-0394,B
COLOR-0395,B
COLOR-0396,B
COLOR-0397,B
COLOR-0398,B
COLOR-0399,B
COLOR-0400,B
COLOR-0401,A
COLOR-0402,B
COLOR-0403,B
COLOR-0404,A
COLOR-0405,B
COLOR-0406,B
COLOR-0407,B
COLOR-0408,B
COLOR-0409,B
COLOR-0410,B
COLOR-0411,B
COLOR-0412,B
COLOR-0413,B
COLOR-0414,B
COLOR-0415,B
COLOR-0416,B
COLOR-0417,A
COLOR-0418,B
COLOR-0419,A
COLOR-0420,A
COLOR-0421,B
COLOR-0422,B
COLOR-0423,B
COLOR-0424,B
COLOR-0425,B
COLOR-0426,B
COLOR-0427,B
COLOR-0428,B
COLOR-0429,B
COLOR-0430,B
COLOR-0431,B
COLOR-0432,B
COLOR-0433,B
COLOR-0434,B
COLOR-0435,A
COLOR-0436,B
COLOR-0437,B
COLOR-0438,B
COLOR-0439,B
COLOR-0440,B
COLOR-0441,B
COLOR-0442,B
COLOR-0443,B
COLOR-0444,B
COLOR-0445,B
COLOR-0446,B
COLOR-0447,B
COLOR-0448,B
COLOR-0449,B
COLOR-0450,A
COLOR-0451,B
COLOR-0452,A
COLOR-0453,B
COLOR-0454,B
COLOR-0455,B
COLOR-0456,B
COLOR-0457,B
COLOR-0458,B
COLOR-0459,B
COLOR-0460,B
COLOR-0461,B
COLOR-0462,B
COLOR-0463,B
COLOR-0464,B
COLOR-0465,B
COLOR-0466,A
COLOR-0467,A
COLOR-0468,A
COLOR-0469,B
COLOR-0470,B
COLOR-0471,B
COLOR-0472,B
COLOR-0473,B
COLOR-0474,B
COLOR-0475,B
COLOR-0476,B
COLOR-0477,B
COLOR-0478,B
COLOR-0479,B
COLOR-0480,B
COLOR-0481,A
COLOR-0482,A
COLOR-0483,A
COLOR-0484,A
COLOR-0485,B
COLOR-0486,B
COLOR-0487,B
COLOR-0488,B
COLOR-0489,B
COLOR-0490,B
COLOR-0491,B
COLOR-0492,B
COLOR-0493,B
COLOR-0494,B
COLOR-0495,B
COLOR-0496,B
COLOR-0497,B
COLOR-0498,A
COLOR-0499,A
COLOR-0500,B
COLOR-0501,B
COLOR-0502,B
COLOR-0503,B
COLOR-0504,B
COLOR-0505,B
COLOR-0506,B
COLOR-0507,B
COLOR-0508,B
COLOR-0509,B
COLOR-0510,B
COLOR-0511,B
COLOR-0512,B
COLOR-0513,B
COLOR-0514,B
COLOR-0515,B
COLOR-0516,B
COLOR-0517,B
COLOR-0518,B
COLOR-0519,B
COLOR-0520,B
COLOR-0521,B
COLOR-0522,B
COLOR-0523,B
COLOR-0524,B
COLOR-0525,B
COLOR-0526,B
COLOR-0527,B
COLOR-0528,B
COLOR-0529,A
COLOR-0530,B
COLOR-0531,A
COLOR-0532,A
COLOR-0533,B
COLOR-0534,B
COLOR-0535,B
COLOR-0536,B
COLOR-0537,B
COLOR-0538,B
COLOR-0539,B
COLOR-0540,B
COLOR-0541,B
COLOR-0542,B
COLOR-0543,B
COLOR-0544,B
COLOR-0545,A
COLOR-0546,A
COLOR-0547,B
COLOR-0548,A
COLOR-0549,B
COLOR-0550,B
COLOR-0551,B
COLOR-0552,B
COLOR-0553,B
COLOR-0554,B
COLOR-0555,B
COLOR-0556,B
COLOR-0557,B
COLOR-0558,B
COLOR-0559,B
COLOR-0560,B
COLOR-0561,B
COLOR-0562,A
COLOR-0563,A
COLOR-0564,A
COLOR-0565,B
COLOR-0566,B
COLOR-0567,B
COLOR-0568,B
COLOR-0569,B
COLOR-0570,B
COLOR-0571,B
COLOR-0572,B
COLOR-0573,B
COLOR-0574,B
COLOR-0575,B
COLOR-0576,B
COLOR-0577,B
COLOR-0578,A
COLOR-0579,B
COLOR-0580,A
COLOR-0581,B
COLOR-0582,B
COLOR-0583,B
COLOR-0584,B
COLOR-0585,B
COLOR-0586,B
COLOR-0587,B
COLOR-0588,B
COLOR-0589,B
COLOR-0590,B
COLOR-0591,B
COLOR-0592,B
COLOR-0593,B
COLOR-0594,B
COLOR-0595,B
COLOR-0596,A
COLOR-0597,B
COLOR-0598,B
COLOR-0599,B
COLOR-0600,B
COLOR-0601,B
COLOR-0602,B
COLOR-0603,B
COLOR-0604,B
COLOR-0605,B
COLOR-0606,B
COLOR-0607,B
COLOR-0608,B
COLOR-0609,B
COLOR-0610,A
COLOR-0611,B
COLOR-0612,A
COLOR-0613,B
COLOR-0614,B
COLOR-0615,B
COLOR-0616,B
COLOR-0617,B
COLOR-0618,B
COLOR-0619,B
COLOR-0620,B
COLOR-0621,B
COLOR-0622,B
COLOR-0623,B
COLOR-0624,B
COLOR-0625,A
COLOR-0626,B
COLOR-0627,A
COLOR-0628,B
COLOR-0629,B
COLOR-0630,B
COLOR-0631,B
COLOR-0632,B
COLOR-0633,B
COLOR-0634,B
COLOR-0635,B
COLOR-0636,B
COLOR-0637,B
COLOR-0638,B
COLOR-0639,B
COLOR-0640,B
COLOR-0641,B
COLOR-0642,A
COLOR-0643,B
COLOR-0644,B
COLOR-0645,B
COLOR-0646,B
COLOR-0647,B
COLOR-0648,B
COLOR-0649,B
COLOR-0650,B
COLOR-0651,B
COLOR-0652,B
COLOR-0653,B
COLOR-0654,B
COLOR-0655,B
COLOR-0656,B
COLOR-0657,A
COLOR-0658,B
COLOR-0659,A
COLOR-0660,B
COLOR-0661,B
COLOR-0662,B
COLOR-0663,B
COLOR-0664,B
COLOR-0665,B
COLOR-0666,B
COLOR-0667,B
COLOR-0668,B
COLOR-0669,B
COLOR-0670,B
COLOR-0671,B
COLOR-0672,B
COLOR-0673,B
COLOR-0674,A
COLOR-0675,B
COLOR-0676,B
COLOR-0677,B
COLOR-0678,B
COLOR-0679,B
COLOR-0680,B
COLOR-0681,B
COLOR-0682,B
COLOR-0683,B
COLOR-0684,B
COLOR-0685,B
COLOR-0686,B
COLOR-0687,B
COLOR-0688,B
COLOR-0689,B
COLOR-0690,A
COLOR-0691,B
COLOR-0692,A
COLOR-0693,B
COLOR-0694,B
COLOR-0695,B
COLOR-0696,B
COLOR-0697,B
COLOR-0698,B
COLOR-0699,B
COLOR-0700,B
COLOR-0701,B
COLOR-0702,B
COLOR-0703,B
COLOR-0704,B
COLOR-0705,A
COLOR-0706,A
COLOR-0707,A
COLOR-0708,A
COLOR-0709,B
COLOR-0710,B
COLOR-0711,B
COLOR-0712,B
COLOR-0713,B
COLOR-0714,B
COLOR-0715,B
COLOR-0716,B
COLOR-0717,B
COLOR-0718,B
COLOR-0719,B
COLOR-0720,B
COLOR-0721,B
COLOR-0722,A
COLOR-0723,B
COLOR-0724,A
COLOR-0725,B
COLOR-0726,B
COLOR-0727,B
COLOR-0728,B
COLOR-0729,B
COLOR-0730,B
COLOR-0731,B
COLOR-0732,B
COLOR-0733,B
COLOR-0734,B
COLOR-0735,B
COLOR-0736,B
COLOR-0737,A
COLOR-0738,A
COLOR-0739,A
COLOR-0740,A
COLOR-0741,B
COLOR-0742,B
COLOR-0743,B
COLOR-0744,B
COLOR-0745,B
COLOR-0746,B
COLOR-0747,B
COLOR-0748,B
COLOR-0749,B
COLOR-0750,B
COLOR-0751,B
COLOR-0752,B
COLOR-0753,B
COLOR-0754,A
COLOR-0755,B
COLOR-0756,B
COLOR-0757,B
COLOR-0758,B
COLOR-0759,B
COLOR-0760,B
COLOR-0761,B
COLOR-0762,B
COLOR-0763,B
COLOR-0764,B
COLOR-0765,B
COLOR-0766,B
COLOR-0767,B
COLOR-0768,B
COLOR-0769,A
COLOR-0770,B
COLOR-0771,B
COLOR-0772,A
COLOR-0773,B
COLOR-0774,B
COLOR-0775,B
COLOR-0776,B
COLOR-0777,B
COLOR-0778,B
COLOR-0779,B
COLOR-0780,B
COLOR-0781,B
COLOR-0782,B
COLOR-0783,B
COLOR-0784,B
COLOR-0785,B
COLOR-0786,A
COLOR-0787,A
COLOR-0788,A
COLOR-0789,B
COLOR-0790,B
COLOR-0791,B
COLOR-0792,B
COLOR-0793,B
COLOR-0794,B
COLOR-0795,B
COLOR-0796,B
COLOR-0797,B
COLOR-0798,B
COLOR-0799,B
COLOR-0800,B
COLOR-0801,B
COLOR-0802,A
COLOR-0803,B
COLOR-0804,B
COLOR-0805,B
COLOR-0806,B
COLOR-0807,B
COLOR-0808,B
COLOR-0809,B
COLOR-0810,B
COLOR-0811,B
COLOR-0812,B
COLOR-0813,B
COLOR-0814,B
COLOR-0815,B
COLOR-0816,B
COLOR-0817,B
COLOR-0818,A
COLOR-0819,B
COLOR-0820,A
COLOR-0821,B
COLOR-0822,B
COLOR-0823,B
COLOR-0824,B
COLOR-0825,B
COLOR-0826,B
COLOR-0827,B
COLOR-0828,B
COLOR-0829,B
COLOR-0830,B
COLOR-0831,B
COLOR-0832,B
COLOR-0833,B
COLOR-0834,A
COLOR-0835,A
COLOR-0836,B
COLOR-0837,B
COLOR-0838,B
COLOR-0839,B
COLOR-0840,B
COLOR-0841,B
COLOR-0842,B
COLOR-0843,B
COLOR-0844,B
COLOR-0845,B
COLOR-0846,B
COLOR-0847,B
COLOR-0848,B
COLOR-0849,B
COLOR-0850,A
COLOR-0851,A
COLOR-0852,B
COLOR-0853,B
COLOR-0854,B
COLOR-0855,B
COLOR-0856,B
COLOR-0857,B
COLOR-0858,B
COLOR-0859,B
COLOR-0860,B
COLOR-0861,B
COLOR-0862,B
COLOR-0863,B
COLOR-0864,B
COLOR-0865,B
COLOR-0866,B
COLOR-0867,B
COLOR-0868,A
COLOR-0869,B
COLOR-0870,B
COLOR-0871,B
COLOR-0872,B
COLOR-0873,B
COLOR-0874,B
COLOR-0875,B
COLOR-0876,B
COLOR-0877,B
COLOR-0878,B
COLOR-0879,B
COLOR-0880,B
COLOR-0881,B
COLOR-0882,A
COLOR-0883,A
COLOR-0884,B
COLOR-0885,B
COLOR-0886,B
COLOR-0887,B
COLOR-0888,B
COLOR-0889,B
COLOR-0890,B
COLOR-0891,B
COLOR-0892,B
COLOR-0893,B
COLOR-0894,B
COLOR-0895,B
COLOR-0896,B
GABOR-0001,A
GABOR-0002,A
GABOR-0003,A
GABOR-0004,B
GABOR-0005,B
GABOR-0006,A
GABOR-0007,B
GABOR-0008,B
GABOR-0009,A
GABOR-0010,B
GABOR-0011,B
GABOR-0012,B
GABOR-0013,A
GABOR-0014,B
GABOR-0015,A
GABOR-0016,B
GABOR-0017,A
GABOR-0018,A
GABOR-0019,B
GABOR-0020,A
GABOR-0021,B
GABOR-0022,B
GABOR-0023,B
GABOR-0024,B
GABOR-0025,B
GABOR-0026,A
GABOR-0027,A
GABOR-0028,B
GABOR-0029,B
GABOR-0030,B
GABOR-0031,A
GABOR-0032,B
GABOR-0033,B
GABOR-0034,A
GABOR-0035,A
GABOR-0036,B
GABOR-0037,A
GABOR-0038,B
GABOR-0039,B
GABOR-0040,A
GABOR-0041,A
GABOR-0042,B
GABOR-0043,A
GABOR-0044,B
GABOR-0045,A
GABOR-0046,A
GABOR-0047,B
GABOR-0048,B
GABOR-0049,A
GABOR-0050,A
GABOR-0051,B
GABOR-0052,A
GABOR-0053,B
GABOR-0054,A
GABOR-0055,A
GABOR-0056,B
GABOR-0057,B
GABOR-0058,B
GABOR-0059,B
GABOR-0060,B
GABOR-0061,B
GABOR-0062,A
GABOR-0063,B
GABOR-0064,B
GABOR-0065,B
GABOR-0066,B
GABOR-0067,A
GABOR-0068,A
GABOR-0069,B
GABOR-0070,B
GABOR-0071,B
GABOR-0072,B
GABOR-0073,A
GABOR-0074,A
GABOR-0075,B
GABOR-0076,B
GABOR-0077,A
GABOR-0078,A
GABOR-0079,B
GABOR-0080,A
GABOR-0081,B
GABOR-0082,A
GABOR-0083,A
GABOR-0084,A
GABOR-0085,B
GABOR-0086,A
GABOR-0087,B
GABOR-0088,B
GABOR-0089,A
GABOR-0090,A
GABOR-0091,A
GABOR-0092,B
GABOR-0093,A
GABOR-0094,B
GABOR-0095,B
GABOR-0096,B
GABOR-0097,B
GABOR-0098,B
GABOR-0099,B
GABOR-0100,A
GABOR-0101,B
GABOR-0102,A
GABOR-0103,B
GABOR-0104,B
GABOR-0105,B
GABOR-0106,B
GABOR-0107,B
GABOR-0108,A
GABOR-0109,B
GABOR-0110,A
GABOR-0111,A
GABOR-0112,A
GABOR-0113,A
GABOR-0114,A
GABOR-0115,B
GABOR-0116,B
GABOR-0117,A
GABOR-0118,A
GABOR-0119,A
GABOR-0120,B
GABOR-0121,B
GABOR-0122,A
GABOR-0123,A
GABOR-0124,A
GABOR-0125,B
GABOR-0126,B
GABOR-0127,A
GABOR-0128,A
GABOR-0129,A
GABOR-0130,B
GABOR-0131,B
GABOR-0132,B
GABOR-0133,B
GABOR-0134,A
GABOR-0135,B
GABOR-0136,A
GABOR-0137,A
GABOR-0138,B
GABOR-0139,A
GABOR-0140,A
GABOR-0141,B
GABOR-0142,A
GABOR-0143,A
GABOR-0144,A
GABOR-0145,B
GABOR-0146,B
GABOR-0147,A
GABOR-0148,A
GABOR-0149,B
GABOR-0150,A
GABOR-0151,A
GABOR-0152,A
GABOR-0153,B
GABOR-0154,B
GABOR-0155,A
GABOR-0156,A
GABOR-0157,B
GABOR-0158,A
GABOR-0159,A
GABOR-0160,B
GABOR-0161,A
GABOR-0162,B
GABOR-0163,B
GABOR-0164,B
GABOR-0165,A
GABOR-0166,A
GABOR-0167,A
GABOR-0168,A
GABOR-0169,A
GABOR-0170,A
GABOR-0171,B
GABOR-0172,A
GABOR-0173,B
GABOR-0174,B
GABOR-0175,B
GABOR-0176,A
GABOR-0177,A
GABOR-0178,B
GABOR-0179,B
GABOR-0180,B
GABOR-0181,A
GABOR-0182,A
GABOR-0183,A
GABOR-0184,B
GABOR-0185,A
GABOR-0186,A
GABOR-0187,B
GABOR-0188,A
GABOR-0189,A
GABOR-0190,B
GABOR-0191,B
GABOR-0192,A
GABOR-0193,B
GABOR-0194,A
GABOR-0195,A
GABOR-0196,B
GABOR-0197,B
GABOR-0198,B
GABOR-0199,A
GABOR-0200,B
GABOR-0201,B
GABOR-0202,B
GABOR-0203,A
GABOR-0204,B
GABOR-0205,A
GABOR-0206,B
GABOR-0207,B
GABOR-0208,B
GABOR-0209,A
GABOR-0210,A
GABOR-0211,A
GABOR-0212,B
GABOR-0213,B
GABOR-0214,B
GABOR-0215,B
GABOR-0216,A
GABOR-0217,A
GABOR-0218,A
GABOR-0219,B
GABOR-0220,A
GABOR-0221,B
GABOR-0222,B
GABOR-0223,B
GABOR-0224,B
GABOR-0225,A
GABOR-0226,A
GABOR-0227,A
GABOR-0228,B
GABOR-0229,A
GABOR-0230,A
GABOR-0231,B
GABOR-0232,A
GABOR-0233,A
GABOR-0234,A
GABOR-0235,B
GABOR-0236,A
GABOR-0237,A
GABOR-0238,A
GABOR-0239,B
GABOR-0240,A
GABOR-0241,A
GABOR-0242,B
GABOR-0243,A
GABOR-0244,B
GABOR-0245,A
GABOR-0246,B
GABOR-0247,B
GABOR-0248,B
GABOR-0249,A
GABOR-0250,A
GABOR-0251,B
GABOR-0252,B
GABOR-0253,A
GABOR-0254,A
GABOR-0255,B
GABOR-0256,B
GABOR-0257,B
GABOR-0258,A
GABOR-0259,A
GABOR-0260,A
GABOR-0261,B
GABOR-0262,A
GABOR-0263,B
GABOR-0264,A
GABOR-0265,A
GABOR-0266,B
GABOR-0267,B
GABOR-0268,B
GABOR-0269,A
GABOR-0270,B
GABOR-0271,A
GABOR-0272,B
GABOR-0273,B
GABOR-0274,B
GABOR-0275,A
GABOR-0276,B
GABOR-0277,B
GABOR-0278,A
GABOR-0279,B
GABOR-0280,B
GABOR-0281,B
GABOR-0282,A
GABOR-0283,A
GABOR-0284,A
GABOR-0285,A
GABOR-0286,B
GABOR-0287,A
GABOR-0288,A
GABOR-0289,A
GABOR-0290,B
GABOR-0291,A
GABOR-0292,B
GABOR-0293,B
GABOR-0294,A
GABOR-0295,A
GABOR-0296,A
GABOR-0297,A
GABOR-0298,B
GABOR-0299,A
GABOR-0300,B
GABOR-0301,B
GABOR-0302,B
GABOR-0303,A
GABOR-0304,A
GABOR-0305,B
GABOR-0306,B
GABOR-0307,A
GABOR-0308,B
GABOR-0309,A
GABOR-0310,A
GABOR-0311,A
GABOR-0312,A
GABOR-0313,A
GABOR-0314,B
GABOR-0315,B
GABOR-0316,A
GABOR-0317,B
GABOR-0318,A
GABOR-0319,A
GABOR-0320,A
GABOR-0321,A
GABOR-0322,A
GABOR-0323,B
GABOR-0324,A
GABOR-0325,B
GABOR-0326,B
GABOR-0327,A
GABOR-0328,B
GABOR-0329,B
GABOR-0330,A
GABOR-0331,A
GABOR-0332,B
GABOR-0333,B
GABOR-0334,B
GABOR-0335,B
GABOR-0336,B
GABOR-0337,A
GABOR-0338,A
GABOR-0339,A
GABOR-0340,A
GABOR-0341,B
GABOR-0342,B
GABOR-0343,B
GABOR-0344,A
GABOR-0345,B
GABOR-0346,B
GABOR-0347,A
GABOR-0348,B
GABOR-0349,B
GABOR-0350,B
GABOR-0351,B
GABOR-0352,A
GABOR-0353,A
GABOR-0354,A
GABOR-0355,A
GABOR-0356,B
GABOR-0357,A
GABOR-0358,A
GABOR-0359,B
GABOR-0360,A
GABOR-0361,A
GABOR-0362,A
GABOR-0363,B
GABOR-0364,B
GABOR-0365,B
GABOR-0366,B
GABOR-0367,B
GABOR-0368,B
GABOR-0369,A
GABOR-0370,A
GABOR-0371,A
GABOR-0372,B
GABOR-0373,A
GABOR-0374,B
GABOR-0375,A
GABOR-0376,A
GABOR-0377,A
GABOR-0378,A
GABOR-0379,B
GABOR-0380,A
GABOR-0381,A
GABOR-0382,A
GABOR-0383,A
GABOR-0384,A
GABOR-0385,B
GABOR-0386,A
GABOR-0387,B
GABOR-0388,B
GABOR-0389,B
GABOR-0390,B
GABOR-0391,B
GABOR-0392,A
GABOR-0393,B
GABOR-0394,A
GABOR-0395,A
GABOR-0396,B
GABOR-0397,A
GABOR-0398,B
GABOR-0399,A
GABOR-0400,A
GABOR-0401,A
GABOR-0402,A
GABOR-0403,B
GABOR-0404,A
GABOR-0405,B
GABOR-0406,B
GABOR-0407,A
GABOR-0408,B
GABOR-0409,B
GABOR-0410,A
GABOR-0411,B
GABOR-0412,B
GABOR-0413,B
GABOR-0414,B
GABOR-0415,A
GABOR-0416,A
GABOR-0417,A
GABOR-0418,A
GABOR-0419,A
GABOR-0420,B
GABOR-0421,A
GABOR-0422,B
GABOR-0423,B
GABOR-0424,B
GABOR-0425,A
GABOR-0426,A
GABOR-0427,B
GABOR-0428,A
GABOR-0429,A
GABOR-0430,B
GABOR-0431,A
GABOR-0432,A
GABOR-0433,B
GABOR-0434,A
GABOR-0435,B
GABOR-0436,A
GABOR-0437,B
GABOR-0438,A
GABOR-0439,B
GABOR-0440,B
GABOR-0441,B
GABOR-0442,B
GABOR-0443,A
GABOR-0444,B
GABOR-0445,A
GABOR-0446,A
GABOR-0447,A
GABOR-0448,B
GABOR-0449,B
GABOR-0450,A
GABOR-0451,A
GABOR-0452,B
GABOR-0453,B
GABOR-0454,A
GABOR-0455,A
GABOR-0456,A
GABOR-0457,B
GABOR-0458,A
GABOR-0459,A
GABOR-0460,A
GABOR-0461,A
GABOR-0462,A
GABOR-0463,B
GABOR-0464,B
GABOR-0465,A
GABOR-0466,B
GABOR-0467,A
GABOR-0468,A
GABOR-0469,B
GABOR-0470,A
GABOR-0471,B
GABOR-0472,A
GABOR-0473,B
GABOR-0474,A
GABOR-0475,B
GABOR-0476,A
GABOR-0477,B
GABOR-0478,A
GABOR-0479,B
GABOR-0480,A
GABOR-0481,B
GABOR-0482,B
GABOR-0483,A
GABOR-0484,A
GABOR-0485,A
GABOR-0486,A
GABOR-0487,A
GABOR-0488,A
GABOR-0489,B
GABOR-0490,B
GABOR-0491,A
GABOR-0492,A
GABOR-0493,B
GABOR-0494,B
GABOR-0495,B
GABOR-0496,B
GABOR-0497,A
GABOR-0498,A
GABOR-0499,A
GABOR-0500,A
GABOR-0501,A
GABOR-0502,A
